question,entities_for_tables,entities_for_columns,query,tables,entities
Find the name and population of district with population between 200000 and 2000000,['district'],"['name', 'population']","SELECT District_name ,  City_Population FROM district WHERE City_Population BETWEEN 200000 AND 2000000",['district'],"['district', 'name', 'population']"
"What are the district names and city populations for all districts that between 200,000 and 2,000,000 residents?","['districts', 'cities']","['district names', 'city populations', 'residents']","SELECT District_name ,  City_Population FROM district WHERE City_Population BETWEEN 200000 AND 2000000",['district'],"['districts', 'cities', 'district names', 'city populations', 'residents']"
Find the name all districts with city area greater than 10 or population larger than 100000,['districts'],"['name', 'city area', 'population']",SELECT district_name FROM district WHERE city_area  >  10 OR City_Population  >  100000,['district'],"['districts', 'name', 'city area', 'population']"
What are the names of all districts with a city area greater than 10 or have more than 100000 people living there?,"['districts', 'city']","['names', 'area', 'people']",SELECT district_name FROM district WHERE city_area  >  10 OR City_Population  >  100000,['district'],"['districts', 'city', 'names', 'area', 'people']"
Which district has the largest population?,['district'],['population'],SELECT district_name FROM district ORDER BY city_population DESC LIMIT 1,['district'],"['district', 'population']"
What is the name of the district with the most residents?,['district'],"['name', 'residents']",SELECT district_name FROM district ORDER BY city_population DESC LIMIT 1,['district'],"['district', 'name', 'residents']"
Which district has the least area?,['district'],['area'],SELECT district_name FROM district ORDER BY city_area ASC LIMIT 1,['district'],"['district', 'area']"
What is the name of the district with the smallest area?,['district'],"['name', 'area']",SELECT district_name FROM district ORDER BY city_area ASC LIMIT 1,['district'],"['district', 'name', 'area']"
Find the total population of the top 3 districts with the largest area.,['districts'],"['population', 'area']",SELECT sum(city_population) FROM district ORDER BY city_area DESC LIMIT 3,['district'],"['districts', 'population', 'area']"
What is the total number of residents for the districts with the 3 largest areas?,"['districts', 'residents']","['number', 'areas']",SELECT sum(city_population) FROM district ORDER BY city_area DESC LIMIT 3,['district'],"['districts', 'residents', 'number', 'areas']"
Find all types of store and number of them.,['store'],"['types', 'number']","SELECT TYPE ,  count(*) FROM store GROUP BY TYPE",['store'],"['store', 'types', 'number']"
"For each type of store, how many of them are there?",['store'],"['type', 'count']","SELECT TYPE ,  count(*) FROM store GROUP BY TYPE",['store'],"['store', 'type', 'count']"
Find the names of all stores in Khanewal District.,['stores'],"['names', 'Khanewal District']","SELECT t1.store_name FROM store AS t1 JOIN store_district AS t2 ON t1.store_id  =  t2.store_id JOIN district AS t3 ON t2.district_id  =  t3.district_id WHERE t3.district_name  =  ""Khanewal District""","['district', 'store', 'store_district']","['stores', 'names', 'Khanewal District']"
What are the names of all the stores located in Khanewal District?,['stores'],"['names', 'Khanewal District']","SELECT t1.store_name FROM store AS t1 JOIN store_district AS t2 ON t1.store_id  =  t2.store_id JOIN district AS t3 ON t2.district_id  =  t3.district_id WHERE t3.district_name  =  ""Khanewal District""","['district', 'store', 'store_district']","['stores', 'names', 'Khanewal District']"
Find all the stores in the district with the most population.,"['stores', 'district']",['population'],SELECT t1.store_name FROM store AS t1 JOIN store_district AS t2 ON t1.store_id  =  t2.store_id WHERE district_id  =  (SELECT district_id FROM district ORDER BY city_population DESC LIMIT 1),"['district', 'store', 'store_district']","['stores', 'district', 'population']"
What are the names of all the stores in the largest district by population?,"['stores', 'district']","['names', 'population']",SELECT t1.store_name FROM store AS t1 JOIN store_district AS t2 ON t1.store_id  =  t2.store_id WHERE district_id  =  (SELECT district_id FROM district ORDER BY city_population DESC LIMIT 1),"['district', 'store', 'store_district']","['stores', 'district', 'names', 'population']"
"Which city is the headquarter of the store named ""Blackville"" in?",['store'],"['city', 'headquarter', 'name']","SELECT t3.headquartered_city FROM store AS t1 JOIN store_district AS t2 ON t1.store_id  =  t2.store_id JOIN district AS t3 ON t2.district_id  =  t3.district_id WHERE t1.store_name  =  ""Blackville""","['district', 'store', 'store_district']","['store', 'city', 'headquarter', 'name']"
What city is the headquarter of the store Blackville?,['store'],"['city', 'headquarter']","SELECT t3.headquartered_city FROM store AS t1 JOIN store_district AS t2 ON t1.store_id  =  t2.store_id JOIN district AS t3 ON t2.district_id  =  t3.district_id WHERE t1.store_name  =  ""Blackville""","['district', 'store', 'store_district']","['store', 'city', 'headquarter']"
Find the number of stores in each city.,['stores'],"['city', 'number']","SELECT t3.headquartered_city ,  count(*) FROM store AS t1 JOIN store_district AS t2 ON t1.store_id  =  t2.store_id JOIN district AS t3 ON t2.district_id  =  t3.district_id GROUP BY t3.headquartered_city","['district', 'store', 'store_district']","['stores', 'city', 'number']"
How many stores are headquarted in each city?,['stores'],"['city', 'headquarters']","SELECT t3.headquartered_city ,  count(*) FROM store AS t1 JOIN store_district AS t2 ON t1.store_id  =  t2.store_id JOIN district AS t3 ON t2.district_id  =  t3.district_id GROUP BY t3.headquartered_city","['district', 'store', 'store_district']","['stores', 'city', 'headquarters']"
Find the city with the most number of stores.,['stores'],"['city', 'number']",SELECT t3.headquartered_city FROM store AS t1 JOIN store_district AS t2 ON t1.store_id  =  t2.store_id JOIN district AS t3 ON t2.district_id  =  t3.district_id GROUP BY t3.headquartered_city ORDER BY count(*) DESC LIMIT 1,"['district', 'store', 'store_district']","['stores', 'city', 'number']"
What is the city with the most number of flagship stores?,['stores'],"['city', 'flagship']",SELECT t3.headquartered_city FROM store AS t1 JOIN store_district AS t2 ON t1.store_id  =  t2.store_id JOIN district AS t3 ON t2.district_id  =  t3.district_id GROUP BY t3.headquartered_city ORDER BY count(*) DESC LIMIT 1,"['district', 'store', 'store_district']","['stores', 'city', 'flagship']"
What is the average pages per minute color?,"['pages', 'color']","['average', 'pages per minute', 'color']",SELECT avg(pages_per_minute_color) FROM product,['product'],"['pages', 'color', 'average', 'pages per minute', 'color']"
What is the average number of pages per minute color?,['pages'],"['pages', 'minute', 'color']",SELECT avg(pages_per_minute_color) FROM product,['product'],"['pages', 'pages', 'minute', 'color']"
"What products are available at store named ""Miramichi""?","['products', 'store']",['Miramichi'],"SELECT t1.product FROM product AS t1 JOIN store_product AS t2 ON t1.product_id  =  t2.product_id JOIN store AS t3 ON t2.store_id  =  t3.store_id WHERE t3.store_name  =  ""Miramichi""","['store_product', 'store', 'product']","['products', 'store', 'Miramichi']"
What products are sold at the store named Miramichi?,"['products', 'store']","['store name', 'Miramichi']","SELECT t1.product FROM product AS t1 JOIN store_product AS t2 ON t1.product_id  =  t2.product_id JOIN store AS t3 ON t2.store_id  =  t3.store_id WHERE t3.store_name  =  ""Miramichi""","['store_product', 'store', 'product']","['products', 'store', 'store name', 'Miramichi']"
"Find products with max page size as ""A4"" and pages per minute color smaller than 5.",['products'],"['max page size', 'pages per minute color']","SELECT product FROM product WHERE max_page_size  =  ""A4"" AND pages_per_minute_color  <  5",['product'],"['products', 'max page size', 'pages per minute color']"
What are the products with the maximum page size A4 that also have a pages per minute color smaller than 5?,['products'],"['page size', 'A4', 'pages per minute color']","SELECT product FROM product WHERE max_page_size  =  ""A4"" AND pages_per_minute_color  <  5",['product'],"['products', 'page size', 'A4', 'pages per minute color']"
"Find products with max page size as ""A4"" or pages per minute color smaller than 5.",['products'],"['max page size', 'A4', 'pages per minute color']","SELECT product FROM product WHERE max_page_size  =  ""A4"" OR pages_per_minute_color  <  5",['product'],"['products', 'max page size', 'A4', 'pages per minute color']"
What are the products with the maximum page size eqal to A4 or a pages per minute color less than 5?,['products'],"['maximum page size', 'A4', 'pages per minute color']","SELECT product FROM product WHERE max_page_size  =  ""A4"" OR pages_per_minute_color  <  5",['product'],"['products', 'maximum page size', 'A4', 'pages per minute color']"
"Find all the product whose name contains the word ""Scanner"".",['product'],['name'],"SELECT product FROM product WHERE product LIKE ""%Scanner%""",['product'],"['product', 'name']"
"What are all of the products whose name includes the substring ""Scanner""?",['products'],"['name', 'Scanner']","SELECT product FROM product WHERE product LIKE ""%Scanner%""",['product'],"['products', 'name', 'Scanner']"
Find the most prominent max page size among all the products.,['products'],['max page size'],SELECT max_page_size FROM product GROUP BY max_page_size ORDER BY count(*) DESC LIMIT 1,['product'],"['products', 'max page size']"
What is the most common maximum page size?,['page'],"['size', 'maximum']",SELECT max_page_size FROM product GROUP BY max_page_size ORDER BY count(*) DESC LIMIT 1,['product'],"['page', 'size', 'maximum']"
Find the name of the products that are not using the most frequently-used max page size.,['products'],"['name', 'max page size']",SELECT product FROM product WHERE product != (SELECT max_page_size FROM product GROUP BY max_page_size ORDER BY count(*) DESC LIMIT 1),['product'],"['products', 'name', 'max page size']"
What are the names of all products that are not the most frequently-used maximum page size?,['products'],"['names', 'page size', 'frequently-used']",SELECT product FROM product WHERE product != (SELECT max_page_size FROM product GROUP BY max_page_size ORDER BY count(*) DESC LIMIT 1),['product'],"['products', 'names', 'page size', 'frequently-used']"
Find the total population of the districts where the area is bigger than the average city area.,"['districts', 'city']","['population', 'area']",SELECT sum(city_population) FROM district WHERE city_area  >  (SELECT avg(city_area) FROM district),['district'],"['districts', 'city', 'population', 'area']"
What is the total population for all the districts that have an area larger tahn the average city area?,"['districts', 'city']","['population', 'area']",SELECT sum(city_population) FROM district WHERE city_area  >  (SELECT avg(city_area) FROM district),['district'],"['districts', 'city', 'population', 'area']"
Find the names of districts where have both city mall and village store type stores.,"['districts', 'stores']","['names', 'city mall', 'village store', 'store type']","SELECT t3.District_name FROM store AS t1 JOIN store_district AS t2 ON t1.store_id  =  t2.store_id JOIN district AS t3 ON t2.district_id  =  t3.district_id WHERE t1.Type  =  ""City Mall"" INTERSECT SELECT t3.District_name FROM store AS t1 JOIN store_district AS t2 ON t1.store_id  =  t2.store_id JOIN district AS t3 ON t2.district_id  =  t3.district_id WHERE t1.Type  =  ""Village Store""","['district', 'store', 'store_district']","['districts', 'stores', 'names', 'city mall', 'village store', 'store type']"
What are the names of the districts that have both mall and village store style shops?,"['districts', 'shops']","['names', 'style']","SELECT t3.District_name FROM store AS t1 JOIN store_district AS t2 ON t1.store_id  =  t2.store_id JOIN district AS t3 ON t2.district_id  =  t3.district_id WHERE t1.Type  =  ""City Mall"" INTERSECT SELECT t3.District_name FROM store AS t1 JOIN store_district AS t2 ON t1.store_id  =  t2.store_id JOIN district AS t3 ON t2.district_id  =  t3.district_id WHERE t1.Type  =  ""Village Store""","['district', 'store', 'store_district']","['districts', 'shops', 'names', 'style']"
What is the total enrollment number of all colleges?,['colleges'],"['enrollment', 'total enrollment']",SELECT sum(enr) FROM College,['College'],"['colleges', 'enrollment', 'total enrollment']"
How many students are enrolled in college?,['students'],"['enrolled', 'college']",SELECT sum(enr) FROM College,['College'],"['students', 'enrolled', 'college']"
What is the average enrollment number?,['enrollment'],"['average', 'number']",SELECT avg(enr) FROM College,['College'],"['enrollment', 'average', 'number']"
"How many students, on average, does each college have enrolled?","['college', 'students']","['enrolled', 'average']",SELECT avg(enr) FROM College,['College'],"['college', 'students', 'enrolled', 'average']"
How many colleges in total?,['colleges'],['count'],SELECT count(*) FROM College,['College'],"['colleges', 'count']"
How many different colleges are there?,['colleges'],['count'],SELECT count(*) FROM College,['College'],"['colleges', 'count']"
How many players have more than 1000 hours of training?,['players'],['hours of training'],SELECT count(*) FROM Player WHERE HS  >  1000,['Player'],"['players', 'hours of training']"
How many different players trained for more than 1000 hours?,['players'],['hours'],SELECT count(*) FROM Player WHERE HS  >  1000,['Player'],"['players', 'hours']"
How many colleges has more than 15000 students?,['colleges'],['students'],SELECT count(*) FROM College WHERE enr  >  15000,['College'],"['colleges', 'students']"
What is the number of colleges with a student population greater than 15000?,['colleges'],['student population'],SELECT count(*) FROM College WHERE enr  >  15000,['College'],"['colleges', 'student population']"
What is the average training hours of all players?,['players'],['training hours'],SELECT avg(HS) FROM Player,['Player'],"['players', 'training hours']"
How many hours do the players train on average?,['players'],"['hours', 'train']",SELECT avg(HS) FROM Player,['Player'],"['players', 'hours', 'train']"
Find the name and training hours of players whose hours are below 1500.,['players'],"['name', 'training hours']","SELECT pName ,  HS FROM Player WHERE HS  <  1500",['Player'],"['players', 'name', 'training hours']"
What are the names and number of hours spent training for each player who trains for less than 1500 hours?,['player'],"['names', 'number of hours', 'training']","SELECT pName ,  HS FROM Player WHERE HS  <  1500",['Player'],"['player', 'names', 'number of hours', 'training']"
How many different colleges do attend the tryout test?,"['colleges', 'tryout test']",['count'],SELECT count(DISTINCT cName) FROM tryout,['tryout'],"['colleges', 'tryout test', 'count']"
How many different colleges were represented at tryouts?,"['colleges', 'tryouts']","['colleges', 'count']",SELECT count(DISTINCT cName) FROM tryout,['tryout'],"['colleges', 'tryouts', 'colleges', 'count']"
What are the unique types of player positions in the tryout?,"['tryout', 'player']","['positions', 'types']",SELECT count(DISTINCT pPos) FROM tryout,['tryout'],"['tryout', 'player', 'positions', 'types']"
What are the different types of player positions?,['player'],['positions'],SELECT count(DISTINCT pPos) FROM tryout,['tryout'],"['player', 'positions']"
How many students got accepted after the tryout?,['students'],"['accepted', 'tryout']",SELECT count(*) FROM tryout WHERE decision  =  'yes',['tryout'],"['students', 'accepted', 'tryout']"
How many students received a yes from tryouts?,"['students', 'tryouts']","['received', 'yes']",SELECT count(*) FROM tryout WHERE decision  =  'yes',['tryout'],"['students', 'tryouts', 'received', 'yes']"
How many students whose are playing the role of goalie?,['students'],"['role', 'goalie']",SELECT count(*) FROM tryout WHERE pPos  =  'goalie',['tryout'],"['students', 'role', 'goalie']"
What is the number of students playing as a goalie?,['students'],"['goalie', 'number']",SELECT count(*) FROM tryout WHERE pPos  =  'goalie',['tryout'],"['students', 'goalie', 'number']"
"Find the max, average and min training hours of all players.",['players'],['training hours'],"SELECT avg(HS) ,  max(HS) ,  min(HS) FROM Player",['Player'],"['players', 'training hours']"
"What is the average, maximum, and minimum for the number of hours spent training?",['training'],"['hours', 'average', 'maximum', 'minimum']","SELECT avg(HS) ,  max(HS) ,  min(HS) FROM Player",['Player'],"['training', 'hours', 'average', 'maximum', 'minimum']"
What is average enrollment of colleges in the state FL?,['colleges'],"['enrollment', 'state']",SELECT avg(enr) FROM College WHERE state  =  'FL',['College'],"['colleges', 'enrollment', 'state']"
What is average number of students enrolled in Florida colleges?,['colleges'],"['students', 'enrolled', 'Florida']",SELECT avg(enr) FROM College WHERE state  =  'FL',['College'],"['colleges', 'students', 'enrolled', 'Florida']"
What are the names of players whose training hours is between 500 and 1500?,['players'],"['names', 'training hours']",SELECT pName FROM Player WHERE HS BETWEEN 500 AND 1500,['Player'],"['players', 'names', 'training hours']"
What are the names of players who train between 500 and 1500 hours?,['players'],"['names', 'train', 'hours']",SELECT pName FROM Player WHERE HS BETWEEN 500 AND 1500,['Player'],"['players', 'names', 'train', 'hours']"
Find the players whose names contain letter 'a'.,['players'],['names'],SELECT DISTINCT pName FROM Player WHERE pName LIKE '%a%',['Player'],"['players', 'names']"
Who are the players that have names containing the letter a?,['players'],['names'],SELECT DISTINCT pName FROM Player WHERE pName LIKE '%a%',['Player'],"['players', 'names']"
"Find the name, enrollment of the colleges whose size is bigger than 10000 and location is in state LA.",['colleges'],"['name', 'enrollment', 'size', 'location', 'state']","SELECT cName ,  enr FROM College WHERE enr  >  10000 AND state = ""LA""",['College'],"['colleges', 'name', 'enrollment', 'size', 'location', 'state']"
What are the names and enrollment numbers for colleges that have more than 10000 enrolled and are located in Louisiana?,['colleges'],"['names', 'enrollment numbers', 'enrolled', 'located', 'Louisiana']","SELECT cName ,  enr FROM College WHERE enr  >  10000 AND state = ""LA""",['College'],"['colleges', 'names', 'enrollment numbers', 'enrolled', 'located', 'Louisiana']"
List all information about college sorted by enrollment number in the ascending order.,['college'],['enrollment number'],SELECT * FROM College ORDER BY enr,['College'],"['college', 'enrollment number']"
What information do you have on colleges sorted by increasing enrollment numbers?,['colleges'],['enrollment numbers'],SELECT * FROM College ORDER BY enr,['College'],"['colleges', 'enrollment numbers']"
List the name of the colleges whose enrollment is greater 18000 sorted by the college's name.,['colleges'],"['name', 'enrollment']",SELECT cName FROM College WHERE enr  >  18000 ORDER BY cName,['College'],"['colleges', 'name', 'enrollment']"
What is the name of every college in alphabetical order that has more than 18000 students enrolled?,['college'],"['name', 'students enrolled']",SELECT cName FROM College WHERE enr  >  18000 ORDER BY cName,['College'],"['college', 'name', 'students enrolled']"
Find the name of players whose card is yes in the descending order of training hours.,['players'],"['name', 'card', 'training hours']",SELECT pName FROM Player WHERE yCard  =  'yes' ORDER BY HS DESC,['Player'],"['players', 'name', 'card', 'training hours']"
What are the name of the players who received a card in descending order of the hours of training?,['players'],"['name', 'card', 'hours of training']",SELECT pName FROM Player WHERE yCard  =  'yes' ORDER BY HS DESC,['Player'],"['players', 'name', 'card', 'hours of training']"
Find the name of different colleges involved in the tryout in alphabetical order.,"['colleges', 'tryout']",['name'],SELECT DISTINCT cName FROM tryout ORDER BY cName,['tryout'],"['colleges', 'tryout', 'name']"
What are the different names of the colleges involved in the tryout in alphabetical order?,"['colleges', 'tryout']",['names'],SELECT DISTINCT cName FROM tryout ORDER BY cName,['tryout'],"['colleges', 'tryout', 'names']"
Which position is most popular among players in the tryout?,"['players', 'tryout']",['position'],SELECT pPos FROM tryout GROUP BY pPos ORDER BY count(*) DESC LIMIT 1,['tryout'],"['players', 'tryout', 'position']"
What was the most popular position at tryouts?,['tryouts'],"['position', 'popular']",SELECT pPos FROM tryout GROUP BY pPos ORDER BY count(*) DESC LIMIT 1,['tryout'],"['tryouts', 'position', 'popular']"
Find the number of students who participate in the tryout for each college ordered by descending count.,"['students', 'college', 'tryout']","['number', 'count']","SELECT count(*) ,  cName FROM tryout GROUP BY cName ORDER BY count(*) DESC",['tryout'],"['students', 'college', 'tryout', 'number', 'count']"
How many students participated in tryouts for each college by descennding count?,"['students', 'colleges', 'tryouts']",['count'],"SELECT count(*) ,  cName FROM tryout GROUP BY cName ORDER BY count(*) DESC",['tryout'],"['students', 'colleges', 'tryouts', 'count']"
What is minimum hours of the students playing in different position?,['students'],"['hours', 'position']","SELECT min(T2.HS) ,   T1.pPos FROM tryout AS T1 JOIN player AS T2 ON T1.pID  =  T2.pID GROUP BY T1.pPos","['tryout', 'player']","['students', 'hours', 'position']"
"For each position, what is the minimum time students spent practicing?",['students'],"['position', 'time', 'practicing']","SELECT min(T2.HS) ,   T1.pPos FROM tryout AS T1 JOIN player AS T2 ON T1.pID  =  T2.pID GROUP BY T1.pPos","['tryout', 'player']","['students', 'position', 'time', 'practicing']"
What are the names of schools with the top 3 largest size?,['schools'],"['names', 'size']",SELECT cName FROM college ORDER BY enr DESC LIMIT 3,['college'],"['schools', 'names', 'size']"
What are the names of the schools with the top 3 largest class sizes?,['schools'],"['names', 'class sizes']",SELECT cName FROM college ORDER BY enr DESC LIMIT 3,['college'],"['schools', 'names', 'class sizes']"
What is the name of school that has the smallest enrollment in each state?,['school'],"['name', 'enrollment', 'state']","SELECT cName ,  state ,  min(enr) FROM college GROUP BY state",['college'],"['school', 'name', 'enrollment', 'state']"
What is the name of the school with smallest enrollment size per state?,['school'],"['name', 'enrollment size', 'state']","SELECT cName ,  state ,  min(enr) FROM college GROUP BY state",['college'],"['school', 'name', 'enrollment size', 'state']"
Find the states where have some college students in tryout.,"['states', 'college students', 'tryout']",['states'],SELECT DISTINCT state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName,"['tryout', 'college']","['states', 'college students', 'tryout', 'states']"
What are the different states that have students trying out?,['students'],['states'],SELECT DISTINCT state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName,"['tryout', 'college']","['students', 'states']"
Find the states where have some college students in tryout and their decisions are yes.,"['states', 'college students', 'tryout']","['states', 'decisions']",SELECT DISTINCT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName WHERE T2.decision  =  'yes',"['tryout', 'college']","['states', 'college students', 'tryout', 'states', 'decisions']"
What are the different states that had students successfully try out?,"['states', 'students']",['states'],SELECT DISTINCT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName WHERE T2.decision  =  'yes',"['tryout', 'college']","['states', 'students', 'states']"
Find the name and college of students whose decisions are yes in the tryout.,"['students', 'tryout']","['name', 'college', 'decisions']","SELECT T1.pName ,  T2.cName FROM player AS T1 JOIN tryout AS T2 ON T1.pID  =  T2.pID WHERE T2.decision  =  'yes'","['tryout', 'player']","['students', 'tryout', 'name', 'college', 'decisions']"
"What are the names of all the players who received a yes during tryouts, and also what are the names of their colleges?","['players', 'tryouts', 'colleges']","['names', 'yes', 'colleges']","SELECT T1.pName ,  T2.cName FROM player AS T1 JOIN tryout AS T2 ON T1.pID  =  T2.pID WHERE T2.decision  =  'yes'","['tryout', 'player']","['players', 'tryouts', 'colleges', 'names', 'yes', 'colleges']"
Find the name of all students who were in the tryout sorted in alphabetic order.,"['students', 'tryout']",['name'],SELECT T1.pName FROM player AS T1 JOIN tryout AS T2 ON T1.pID  =  T2.pID ORDER BY T1.pName,"['tryout', 'player']","['students', 'tryout', 'name']"
What are the names of all students who tried out in alphabetical order?,['students'],['names'],SELECT T1.pName FROM player AS T1 JOIN tryout AS T2 ON T1.pID  =  T2.pID ORDER BY T1.pName,"['tryout', 'player']","['students', 'names']"
Find the name and hours of the students whose tryout decision is yes.,['students'],"['name', 'hours', 'tryout decision']","SELECT T1.pName ,  T1.HS FROM player AS T1 JOIN tryout AS T2 ON T1.pID  =  T2.pID WHERE T2.decision  =  'yes'","['tryout', 'player']","['students', 'name', 'hours', 'tryout decision']"
What are the names and hours spent practicing of every student who received a yes at tryouts?,['student'],"['names', 'hours spent practicing', 'tryouts']","SELECT T1.pName ,  T1.HS FROM player AS T1 JOIN tryout AS T2 ON T1.pID  =  T2.pID WHERE T2.decision  =  'yes'","['tryout', 'player']","['student', 'names', 'hours spent practicing', 'tryouts']"
Find the states of the colleges that have students in the tryout who played in striker position.,"['colleges', 'students', 'tryout']","['states', 'position']",SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName WHERE T2.pPos  =  'striker',"['tryout', 'college']","['colleges', 'students', 'tryout', 'states', 'position']"
What are the states of the colleges where students who tried out for the striker position attend?,"['colleges', 'students']","['states', 'striker position']",SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName WHERE T2.pPos  =  'striker',"['tryout', 'college']","['colleges', 'students', 'states', 'striker position']"
Find the names of the students who are in the position of striker and got a yes tryout decision.,['students'],"['names', 'position', 'striker', 'tryout decision']",SELECT T1.pName FROM player AS T1 JOIN tryout AS T2 ON T1.pID  =  T2.pID WHERE T2.decision  =  'yes' AND T2.pPos  =  'striker',"['tryout', 'player']","['students', 'names', 'position', 'striker', 'tryout decision']"
What are the names of all students who successfully tried out for the position of striker?,['students'],"['names', 'position']",SELECT T1.pName FROM player AS T1 JOIN tryout AS T2 ON T1.pID  =  T2.pID WHERE T2.decision  =  'yes' AND T2.pPos  =  'striker',"['tryout', 'player']","['students', 'names', 'position']"
Find the state of the college which player Charles is attending.,"['college', 'player']","['state', 'Charles']",SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName JOIN player AS T3 ON T2.pID  =  T3.pID WHERE T3.pName  =  'Charles',"['tryout', 'player', 'college']","['college', 'player', 'state', 'Charles']"
In which state is the college that Charles attends?,['college'],"['state', 'Charles']",SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName JOIN player AS T3 ON T2.pID  =  T3.pID WHERE T3.pName  =  'Charles',"['tryout', 'player', 'college']","['college', 'state', 'Charles']"
Find the average and maximum hours for the students whose tryout decision is yes.,['students'],"['hours', 'tryout decision']","SELECT avg(T1.HS) ,  max(T1.HS) FROM player AS T1 JOIN tryout AS T2 ON T1.pID  =  T2.pID WHERE T2.decision  =  'yes'","['tryout', 'player']","['students', 'hours', 'tryout decision']"
What is the average and maximum number of hours students who made the team practiced?,"['students', 'team']","['hours', 'practiced']","SELECT avg(T1.HS) ,  max(T1.HS) FROM player AS T1 JOIN tryout AS T2 ON T1.pID  =  T2.pID WHERE T2.decision  =  'yes'","['tryout', 'player']","['students', 'team', 'hours', 'practiced']"
Find the average hours for the students whose tryout decision is no.,['students'],"['hours', 'tryout decision']",SELECT avg(T1.HS) FROM player AS T1 JOIN tryout AS T2 ON T1.pID  =  T2.pID WHERE T2.decision  =  'no',"['tryout', 'player']","['students', 'hours', 'tryout decision']"
What is the average number of hours spent practicing for students who got rejected?,['students'],"['hours spent practicing', 'rejected']",SELECT avg(T1.HS) FROM player AS T1 JOIN tryout AS T2 ON T1.pID  =  T2.pID WHERE T2.decision  =  'no',"['tryout', 'player']","['students', 'hours spent practicing', 'rejected']"
What is the maximum training hours for the students whose training hours is greater than 1000 in different positions?,['students'],"['training hours', 'positions']","SELECT max(T1.HS) ,  pPos FROM player AS T1 JOIN tryout AS T2 ON T1.pID  =  T2.pID WHERE T1.HS  >  1000 GROUP BY T2.pPos","['tryout', 'player']","['students', 'training hours', 'positions']"
"For each position, what is the maximum number of  hours for students who spent more than 1000 hours training?",['students'],"['position', 'hours', 'training']","SELECT max(T1.HS) ,  pPos FROM player AS T1 JOIN tryout AS T2 ON T1.pID  =  T2.pID WHERE T1.HS  >  1000 GROUP BY T2.pPos","['tryout', 'player']","['students', 'position', 'hours', 'training']"
Which colleges do the tryout players whose name starts with letter D go to?,"['colleges', 'players']",['name'],SELECT T1.cName FROM  tryout AS T1 JOIN player AS T2 ON T1.pID  =  T2.pID WHERE T2.pName LIKE 'D%',"['tryout', 'player']","['colleges', 'players', 'name']"
Which colleges does each player with a name that starts with the letter D  who tried out go to?,"['colleges', 'players']","['name', 'college']",SELECT T1.cName FROM  tryout AS T1 JOIN player AS T2 ON T1.pID  =  T2.pID WHERE T2.pName LIKE 'D%',"['tryout', 'player']","['colleges', 'players', 'name', 'college']"
Which college has any student who is a goalie and succeeded in the tryout.,"['college', 'student']","['goalie', 'tryout']",SELECT cName FROM  tryout WHERE decision  =  'yes' AND pPos  =  'goalie',['tryout'],"['college', 'student', 'goalie', 'tryout']"
What college has a student who successfully made the team in the role of a goalie?,"['college', 'student', 'team']","['role', 'goalie']",SELECT cName FROM  tryout WHERE decision  =  'yes' AND pPos  =  'goalie',['tryout'],"['college', 'student', 'team', 'role', 'goalie']"
Find the name of the tryout players who are from the college with largest size.,"['tryout players', 'college']","['name', 'size']",SELECT T2.pName FROM  tryout AS T1 JOIN player AS T2 ON T1.pID  =  T2.pID WHERE T1.cName  =  (SELECT cName FROM college ORDER BY enr DESC LIMIT 1),"['tryout', 'player', 'college']","['tryout players', 'college', 'name', 'size']"
What are the names of all tryout participants who are from the largest college?,"['tryout', 'college']","['names', 'participants', 'largest']",SELECT T2.pName FROM  tryout AS T1 JOIN player AS T2 ON T1.pID  =  T2.pID WHERE T1.cName  =  (SELECT cName FROM college ORDER BY enr DESC LIMIT 1),"['tryout', 'player', 'college']","['tryout', 'college', 'names', 'participants', 'largest']"
What is the state and enrollment of the colleges where have any students who got accepted in the tryout decision.,"['colleges', 'students']","['state', 'enrollment', 'tryout decision']","SELECT DISTINCT T1.state ,  T1.enr FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName WHERE T2.decision  =  'yes'","['tryout', 'college']","['colleges', 'students', 'state', 'enrollment', 'tryout decision']"
"How many students are enrolled in colleges that have student accepted during tryouts, and in which states are those colleges?","['students', 'colleges']","['enrolled', 'student accepted', 'tryouts', 'states']","SELECT DISTINCT T1.state ,  T1.enr FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName WHERE T2.decision  =  'yes'","['tryout', 'college']","['students', 'colleges', 'enrolled', 'student accepted', 'tryouts', 'states']"
